Neighborhood,Sublocality,City,Property Type,Price (INR),Area (sq ft),Bedrooms,Price per sq ft,Monthly Rent (INR),Schools Nearby,Hospitals Nearby,Public Transport,Amenities,Community Sentiment,Crime Rate,Professions,General Income (INR)
Sinhagad Road,Vadgaon Khurd,Pune,Apartment,8700000,1250,3,6960,25000,6,5,High,Security,High,Low,"(Civil Engineer, Consultant, Professor)",90000-250000
Narhe,Opp DSK Vishwa,Pune,Apartment,7600000,1200,3,6333,21000,5,4,Moderate,Clubhouse,Moderate,Moderate,"(Mechanical Engineer, HR Executive, Software Developer)",70000-180000
Ambegaon Budruk,Near Sinhagad College,Pune,Apartment,7400000,1150,2,6435,20000,4,3,Moderate,Gym,Moderate,Moderate,"(Lecturer, Marketing Professional, Consultant)",60000-150000
Ambegaon Khurd,Near Bharti Vidyapeeth,Pune,Apartment,6800000,1100,2,6182,18500,4,3,Moderate,Parking,Moderate,Moderate,"(College Professor, Accountant, Government Clerk)",50000-150000
Daund,Near Railway Station,Pune,Apartment,5600000,1000,2,5600,14000,3,2,Moderate,Gated Society,Moderate,Moderate,"(Factory Worker, Engineer, Hotel Manager)",40000-120000
Jejuri,Near MIDC Industrial Area,Pune,Apartment,5200000,950,2,5474,13000,3,2,Moderate,Security,Moderate,Moderate,"(Manufacturing Supervisor, Industrial Consultant, Retailer)",40000-100000
Baramati,Near Bhigwan Road,Pune,Apartment,5900000,1100,2,5364,15000,3,2,Moderate,Parking,Moderate,Moderate,"(Farmer, Bank Manager, Small Business Owner)",45000-120000
Shirur,Near Ranjangaon MIDC,Pune,Apartment,6100000,1050,2,5809,16000,4,3,Moderate,Gated Society,Moderate,Moderate,"(Automobile Engineer, Factory Supervisor, IT Technician)",60000-150000
Chakan,Near Bajaj Auto Plant,Pune,Apartment,7500000,1200,3,6250,20000,5,4,Moderate,Security,Moderate,Moderate,"(Industrialist, Supply Chain Manager, Business Owner)",70000-200000
Talegaon Dabhade,Near Talegaon MIDC,Pune,Apartment,7200000,1150,3,6261,19500,5,4,Moderate,Clubhouse,Moderate,Moderate,"(Logistics Manager, Software Developer, Mechanical Engineer)",60000-150000
Rajgurunagar,Near Pune-Nashik Highway,Pune,Apartment,6500000,1100,2,5909,17000,4,3,Moderate,Gym,Moderate,Moderate,"(Transport Business Owner, Factory Supervisor, IT Consultant)",60000-150000
Wagholi,Lake Residency Area,Pune,Apartment,5700000,1000,2,5700,15000,3,2,Moderate,Parking,Moderate,Moderate,"(Sales Executive, Software Developer, Civil Engineer)",50000-120000
Ranjangaon,Near MIDC Industrial Zone,Pune,Apartment,6300000,1050,2,6000,16500,4,3,Moderate,Gated Society,Moderate,Moderate,"(Industrial Engineer, Manager, Production Head)",60000-150000
Lavale,Near Symbiosis University,Pune,Apartment,8300000,1200,3,6917,23000,5,4,Moderate,Security,Moderate,Moderate,"(Professor, Research Scientist, College Dean)",80000-200000
Uruli Kanchan,Near Ayurvedic Institute,Pune,Apartment,6400000,1100,2,5818,17000,4,3,Moderate,Clubhouse,Moderate,Moderate,"(Ayurvedic Doctor, Teacher, Pharmacist)",60000-150000
Lonikand,Near Markal Road,Pune,Apartment,6100000,1050,2,5809,16000,4,3,Moderate,Security,Moderate,Moderate,"(Retail Manager, HR Professional, Business Consultant)",50000-120000
Alandi,Near Dehu Road,Pune,Apartment,5500000,1000,2,5500,14000,3,2,Moderate,Parking,Moderate,Moderate,"(Temple Priest, Professor, Civil Engineer)",40000-120000
Hadapsar,Near SP Infocity,Pune,Apartment,12500000,1400,3,8929,35000,7,6,High,Swimming Pool,High,Low,"(Corporate Manager, Data Scientist, Software Engineer)",100000-500000
Kharadi,Near World Trade Center,Pune,Apartment,11800000,1350,3,8741,34000,7,6,High,Gated Society,High,Low,"(Investment Banker, Business Consultant, IT Director)",150000-600000
Magarpatta,Near Amanora Township,Pune,Apartment,13200000,1450,3,9103,37000,8,7,High,Clubhouse,High,Low,"(Real Estate Investor, Entrepreneur, Senior Consultant)",200000-700000
Baner,Pancard Club Road,Pune,Apartment,14300000,1500,3,9533,39000,8,7,High,Swimming Pool,High,Low,"(Senior Developer, Product Manager, Startup Founder)",150000-500000
Balewadi,Near Balewadi Stadium,Pune,Apartment,13500000,1400,3,9643,36000,7,6,High,Gym,High,Low,"(Athlete, Coach, Marketing Executive)",120000-400000
Pimple Nilakh,Near Rakshak Chowk,Pune,Apartment,12500000,1300,3,9615,34000,7,6,High,Gated Community,High,Low,"(Bank Manager, Business Owner, IT Consultant)",100000-300000
Pashan,Near Sus Road,Pune,Apartment,11800000,1350,3,8741,32000,7,6,High,Parking,High,Low,"(Scientist, Professor, Environmental Engineer)",120000-350000
Bhugaon,Near Manas Lake,Pune,Apartment,9700000,1200,3,8083,28000,6,5,High,Security,High,Low,"(Ecologist, Architect, Resort Manager)",100000-250000
Khadki,Near Railway Station,Pune,Apartment,7500000,1200,2,6250,20000,5,4,Moderate,Gated Society,Moderate,Moderate,"(Defense Personnel, Railway Officer, Small Business Owner)",70000-200000
Khadki,Bopodi,Pune,Apartment,7200000,1100,2,6545,19000,4,3,Moderate,Security,Moderate,Moderate,"(Teacher, Accountant, Software Developer)",60000-150000
Viman Nagar,Lane 5,Pune,Apartment,14500000,1500,3,9667,40000,8,7,Very High,Gym,Very High,Low,"(Pilot, IT Consultant, Business Owner)",200000-600000
Viman Nagar,Konark Campus,Pune,Apartment,14000000,1400,3,10000,39000,7,6,High,Clubhouse,High,Low,"(Hotel Manager, Air Hostess, Digital Marketer)",150000-500000
Dighi,Near Alandi Road,Pune,Apartment,6300000,1100,2,5727,16000,4,3,Moderate,Security,Moderate,Moderate,"(Bank Clerk, Technician, Sales Executive)",50000-120000
Dighi,BSF Colony,Pune,Apartment,6100000,1050,2,5809,15000,4,3,Moderate,Parking,Moderate,Moderate,"(Government Officer, Army Personnel, Trader)",50000-150000
Lohegaon,Near Airport Road,Pune,Apartment,6800000,1150,2,5913,17000,5,4,Moderate,Gated Society,Moderate,Moderate,"(Airforce Officer, Ground Staff, Engineer)",60000-180000
Lohegaon,Dhanori Road,Pune,Apartment,6400000,1100,2,5818,16500,4,3,Moderate,Gym,Moderate,Moderate,"(HR Manager, Graphic Designer, Consultant)",60000-150000
Tingre Nagar,Near Vishrantwadi,Pune,Apartment,7800000,1200,3,6500,20000,6,5,High,Security,High,Low,"(Software Developer, Doctor, CA)",80000-300000
Tingre Nagar,Airport View Society,Pune,Apartment,7600000,1150,3,6609,19000,5,4,High,Gated Community,High,Low,"(Government Officer, Business Owner, Engineer)",70000-200000
Bhosari,Near Nashik Phata,Pune,Apartment,7100000,1100,2,6455,18000,5,4,Moderate,Parking,Moderate,Moderate,"(Industrial Worker, Shop Owner, Engineer)",60000-150000
Bhosari,Landewadi,Pune,Apartment,6900000,1050,2,6571,17500,4,3,Moderate,Clubhouse,Moderate,Moderate,"(Factory Supervisor, Civil Engineer, Teacher)",50000-140000
Moshi,Near Spine Road,Pune,Apartment,7300000,1150,3,6348,19000,5,4,Moderate,Security,Moderate,Moderate,"(Logistics Manager, IT Technician, Business Consultant)",60000-170000
Moshi,PCMC Industrial Area,Pune,Apartment,7100000,1100,2,6455,18000,4,3,Moderate,Gym,Moderate,Moderate,"(Automobile Engineer, IT Support, Retailer)",60000-150000
Nigdi,Near Bhakti Shakti Chowk,Pune,Apartment,8200000,1250,3,6560,23000,6,5,High,Gated Society,High,Low,"(Professor, IT Professional, Marketing Manager)",80000-250000
Nigdi,Pradhikaran,Pune,Apartment,8700000,1300,3,6692,25000,7,6,High,Swimming Pool,High,Low,"(Software Engineer, Real Estate Agent, Consultant)",90000-300000
Dehuroad,Near Cantonment Area,Pune,Apartment,5900000,1050,2,5619,16000,4,3,Moderate,Parking,Moderate,Moderate,"(Defense Employee, Government Officer, Technician)",50000-140000
Dehuroad,Ammunition Factory Road,Pune,Apartment,5700000,1000,2,5700,15000,4,3,Moderate,Gated Society,Moderate,Moderate,"(Army Officer, Policeman, Clerk)",50000-120000
Hadapsar,Near Amanora Mall,Pune,Apartment,13500000,1500,3,9000,37000,8,7,Very High,Clubhouse,Very High,Low,"(Investment Banker, Senior Executive, IT Director)",200000-700000
Hadapsar,Fursungi,Pune,Apartment,7400000,1150,2,6435,19000,5,4,Moderate,Gym,Moderate,Moderate,"(Retail Manager, Government Employee, Teacher)",60000-150000
Phursungi,Near IT Park,Pune,Apartment,6900000,1100,2,6273,17000,5,4,Moderate,Security,Moderate,Moderate,"(Bank Manager, Civil Engineer, HR Executive)",60000-150000
Wanowrie,NIBM Road,Pune,Apartment,12500000,1450,3,8621,35000,7,6,High,Gated Society,High,Low,"(Doctor, Business Consultant, Senior IT Professional)",150000-500000
Wanowrie,Salunke Vihar,Pune,Apartment,12000000,1400,3,8571,34000,7,6,High,Clubhouse,High,Low,"(Lawyer, Architect, Financial Analyst)",150000-450000
Kondhwa,Near Kausar Baug,Pune,Apartment,9300000,1250,3,7440,28000,6,5,High,Security,High,Low,"(IT Consultant, Entrepreneur, Business Owner)",100000-400000
Kondhwa,Near Mohammadwadi,Pune,Apartment,8800000,1200,3,7333,27000,6,5,High,Swimming Pool,High,Low,"(Doctor, Lawyer, Software Engineer)",100000-350000
Bhigwan,Near Bhima River,Pune,Villa,6800000,2500,4,2720,18000,4,3,Moderate,Private Garden,Moderate,Moderate,"(Farmer, Factory Owner, Retailer)",50000-150000
Shirwal,Near MIDC Industrial Area,Pune,Apartment,6000000,1100,2,5455,16000,4,3,Moderate,Gated Society,Moderate,Moderate,"(Industrial Engineer, Factory Supervisor, IT Consultant)",50000-140000
Lonavala,Near Tungarli Lake,Pune,Villa,28000000,4000,5,7000,80000,9,8,Very High,Swimming Pool,Very High,Low,"(Celebrity, Business Tycoon, High Net Worth Individual)",500000+
Lavasa,Near Dasve Town,Pune,Villa,25000000,3500,4,7143,75000,8,7,Very High,Private Lake Access,Very High,Low,"(Investor, Hotelier, Entrepreneur)",400000+
Mulshi,Near Temghar Dam,Pune,Farmhouse,20000000,5000,4,4000,60000,8,7,Very High,Private Garden,Very High,Low,"(Agriculturalist, Business Owner, Celebrity)",300000+
Hadapsar,Harpale Vasti,Pune,Apartment,6900000,1100,2,6273,18000,4,3,Moderate,Parking,Moderate,Moderate,"(Teacher, Accountant, Small Business Owner)",50000-150000
Hadapsar,Bhekrai Nagar,Pune,Apartment,6200000,1050,2,5905,16000,3,3,Moderate,Gym,Moderate,Moderate,"(Retailer, Sales Executive, Technician)",50000-120000
Hadapsar,Kalepadal,Pune,Apartment,7100000,1150,2,6174,19000,5,4,Moderate,Security,Moderate,Moderate,"(Software Developer, Bank Clerk, Marketing Executive)",60000-150000
Fursungi,Near Saswad Road,Pune,Apartment,6700000,1100,2,6091,17000,4,3,Moderate,Gated Society,Moderate,Moderate,"(Professor, Consultant, Small Business Owner)",60000-140000
Fursungi,Sainath Nagar,Pune,Apartment,6900000,1150,2,6000,17500,4,3,Moderate,Gym,Moderate,Moderate,"(Retail Manager, Real Estate Broker, Graphic Designer)",60000-150000
Manjri,Manjri Greens,Pune,Apartment,7800000,1200,3,6500,22000,5,4,High,Gated Security,High,Low,"(IT Engineer, Doctor, Chartered Accountant)",80000-250000
Manjri,Borate Vasti,Pune,Apartment,7200000,1150,3,6261,20000,5,4,Moderate,Parking,Moderate,Moderate,"(Agriculturist, Industrial Worker, Freelancer)",50000-150000
Uruli Kanchan,Near Railway Station,Pune,Apartment,6200000,1050,2,5905,16000,4,3,Moderate,Security,Moderate,Moderate,"(Farmer, Local Trader, Technician)",50000-120000
Uruli Devachi,Garbage Depot Area,Pune,Apartment,6000000,1000,2,6000,15000,3,2,Moderate,None,Moderate,Moderate,"(Manual Laborer, Factory Worker, Small Shop Owner)",40000-100000
Loni Kalbhor,Near College Road,Pune,Apartment,6500000,1100,2,5909,17000,4,3,Moderate,Gated Society,Moderate,Moderate,"(Professor, Lecturer, Research Scholar)",60000-140000
Loni Kalbhor,Yewat Road,Pune,Apartment,6400000,1080,2,5926,16500,4,3,Moderate,Security,Moderate,Moderate,"(Farmer, Hardware Technician, Carpenter)",50000-130000
Phursungi,Near SNBP School,Pune,Apartment,7100000,1150,2,6174,18000,5,4,Moderate,Gated Security,Moderate,Moderate,"(Real Estate Agent, Retailer, Shop Owner)",60000-150000
Katraj,Katraj Dairy,Pune,Apartment,7500000,1200,3,6250,20000,5,4,Moderate,Security,Moderate,Moderate,"(Businessman, Contractor, Civil Engineer)",60000-200000
Katraj,Ambegaon Budruk,Pune,Apartment,7800000,1250,3,6240,22000,6,4,Moderate,Clubhouse,Moderate,Moderate,"(IT Manager, Consultant, Financial Advisor)",70000-200000
Narhe,Near Sinhagad College,Pune,Apartment,7200000,1150,3,6261,20000,5,4,Moderate,Gated Society,Moderate,Moderate,"(Software Engineer, Marketing Executive, Teacher)",60000-150000
Narhe,Datta Nagar,Pune,Apartment,7000000,1100,2,6364,18000,4,3,Moderate,Parking,Moderate,Moderate,"(Sales Executive, HR Professional, Graphic Designer)",60000-140000
Warje,Near NDA Road,Pune,Apartment,8800000,1300,3,6769,25000,7,6,High,Gym,High,Low,"(Doctor, Engineer, Business Consultant)",90000-300000
Warje,Malwadi,Pune,Apartment,8500000,1250,3,6800,24000,6,5,High,Clubhouse,High,Low,"(IT Professional, Consultant, Financial Analyst)",80000-250000
Vadgaon Budruk,Near Sinhagad Road,Pune,Apartment,7800000,1200,3,6500,22000,5,4,High,Parking,High,Low,"(Retail Manager, Government Employee, Teacher)",70000-180000
Vadgaon Sheri,Mhada Colony,Pune,Apartment,9700000,1300,3,7462,28000,6,5,High,Gated Security,High,Low,"(IT Professional, Financial Analyst, Marketing Manager)",100000-300000
Nanded,Near Nanded City Township,Pune,Apartment,8500000,1250,3,6800,24000,6,5,High,Gated Security,High,Low,"(Doctor, Engineer, Software Developer)",80000-300000
Pirangut,Near Industrial Area,Pune,Apartment,6200000,1100,2,5636,16000,4,3,Moderate,Security,Moderate,Moderate,"(Factory Worker, Business Consultant, Sales Manager)",60000-150000
Bhugaon,Near Bavdhan,Pune,Apartment,8500000,1250,3,6800,24000,6,5,High,Swimming Pool,High,Low,"(Corporate Professional, Consultant, Business Owner)",100000-400000
Bhukum,Near Oxford Golf Resort,Pune,Villa,18000000,3000,4,6000,55000,8,7,Very High,Private Garden,Very High,Low,"(Investor, Entrepreneur, Business Tycoon)",300000+
Mulshi,Near Temghar Dam,Pune,Farmhouse,21000000,5000,4,4200,60000,8,7,Very High,Private Garden,Very High,Low,"(Agriculturalist, Business Owner, Celebrity)",300000+
Lavale,Near Symbiosis University,Pune,Apartment,7300000,1150,3,6348,19000,5,4,Moderate,Parking,Moderate,Moderate,"(Professor, Lecturer, Researcher)",60000-150000
Jambhulwadi,Near Lake View Society,Pune,Apartment,6700000,1100,2,6091,17000,4,3,Moderate,Security,Moderate,Moderate,"(IT Technician, Small Business Owner, Teacher)",60000-140000
Chakan,Near MIDC Industrial Area,Pune,Apartment,6400000,1080,2,5926,16500,4,3,Moderate,Gated Society,Moderate,Moderate,"(Industrial Engineer, Factory Supervisor, Technician)",50000-150000
Ranjangaon,Near Industrial Park,Pune,Apartment,6000000,1050,2,5714,15000,4,3,Moderate,Security,Moderate,Moderate,"(Manufacturing Executive, Plant Manager, Electrician)",50000-140000
Shikrapur,Near Nagar Road,Pune,Apartment,5700000,1000,2,5700,14000,3,2,Moderate,None,Moderate,Moderate,"(Shopkeeper, Farmer, Factory Worker)",40000-100000
Hadapsar,Manjri Khurd,Pune,Apartment,6700000,1100,2,6091,17000,4,3,Moderate,Gated Society,Moderate,Moderate,"(Professor, Consultant, Small Business Owner)",60000-140000
Hadapsar,Satav Nagar,Pune,Apartment,7200000,1150,3,6261,20000,5,4,Moderate,Parking,Moderate,Moderate,"(Agriculturist, Industrial Worker, Freelancer)",50000-150000
Hadapsar,Vaibhav Nagar,Pune,Apartment,6900000,1100,2,6273,18000,4,3,Moderate,Parking,Moderate,Moderate,"(Teacher, Accountant, Small Business Owner)",50000-150000
Kondhwa,Kausarbaugh,Pune,Apartment,7200000,1200,3,6000,19000,5,4,Moderate,Security,Moderate,Moderate,"(Doctor, Lawyer, Senior Consultant)",90000-300000
Kondhwa,Tilekar Nagar,Pune,Apartment,7000000,1150,2,6087,17000,4,3,Moderate,Gym,Moderate,Moderate,"(Software Engineer, IT Consultant, Accountant)",60000-150000
Kondhwa,Meeta Nagar,Pune,Apartment,7500000,1250,3,6000,20000,5,4,Moderate,Clubhouse,Moderate,Moderate,"(Marketing Manager, IT Support, Financial Advisor)",70000-180000
Wanowrie,Fatima Nagar,Pune,Apartment,8700000,1300,3,6692,26000,6,5,High,Gated Society,High,Low,"(Software Developer, Consultant, Lawyer)",80000-250000
Wanowrie,Sadar Bazaar,Pune,Apartment,8900000,1350,3,6593,27000,7,5,High,Security,High,Low,"(Business Owner, Military Personnel, Consultant)",90000-300000
Katraj,Balaji Nagar,Pune,Apartment,7300000,1150,3,6348,19000,5,4,Moderate,Parking,Moderate,Moderate,"(Teacher, Marketing Professional, Civil Engineer)",60000-140000
Ambegaon,Ashok Nagar,Pune,Apartment,7800000,1250,3,6240,22000,6,4,Moderate,Gym,Moderate,Moderate,"(IT Manager, Consultant, Financial Advisor)",70000-200000
Ambegaon,Dattanagar,Pune,Apartment,7400000,1150,3,6435,20000,5,4,Moderate,Parking,Moderate,Moderate,"(Retail Manager, Government Employee, Teacher)",70000-180000
Narhe,Kirkatwadi,Pune,Apartment,7100000,1150,3,6174,18000,5,4,Moderate,Parking,Moderate,Moderate,"(Real Estate Agent, Retailer, Shop Owner)",60000-150000
Vadgaon Sheri,Chandan Nagar,Pune,Apartment,9600000,1350,3,7111,27000,6,5,High,Gated Security,High,Low,"(IT Professional, Financial Analyst, Marketing Manager)",100000-300000
Wagholi,Ubale Nagar,Pune,Apartment,6800000,1100,2,6182,17000,4,3,Moderate,Gym,Moderate,Moderate,"(College Lecturer, Sales Executive, Graphic Designer)",50000-120000
Wagholi,Lohegaon Road,Pune,Apartment,7200000,1200,3,6000,19000,5,4,Moderate,Security,Moderate,Moderate,"(Marketing Executive, HR Manager, Consultant)",60000-150000
Lohegaon,Dhanori Jakat Naka,Pune,Apartment,7700000,1250,3,6160,20000,6,4,Moderate,Gated Security,Moderate,Moderate,"(Doctor, Consultant, Financial Advisor)",70000-200000
Lohegaon,Porwal Road,Pune,Apartment,7800000,1250,3,6240,22000,6,4,Moderate,Parking,Moderate,Moderate,"(Software Engineer, Business Analyst, HR Executive)",80000-250000
Kharadi,Yerwada Bridge Area,Pune,Apartment,12200000,1500,3,8133,39000,7,6,Very High,Gym,Very High,Low,"(Corporate Executive, IT Director, Business Owner)",200000-600000
Yerwada,Tingre Nagar,Pune,Apartment,10500000,1400,3,7500,32000,6,5,High,Clubhouse,High,Low,"(Software Engineer, Consultant, Entrepreneur)",100000-300000
Alandi,Dehu Road,Pune,Apartment,6200000,1100,2,5636,16000,4,3,Moderate,Security,Moderate,Moderate,"(Religious Worker, Farmer, Small Business Owner)",40000-100000
Alandi,Charoli,Pune,Apartment,6400000,1150,2,5565,17000,4,3,Moderate,Gated Society,Moderate,Moderate,"(Factory Worker, Business Consultant, Sales Manager)",60000-150000
Chakan,Khed Shivapur,Pune,Apartment,5900000,1000,2,5900,14000,3,2,Moderate,None,Moderate,Moderate,"(Manufacturing Executive, Plant Manager, Electrician)",50000-140000
Shirur,Near Pune-Nagar Road,Pune,Apartment,5700000,1000,2,5700,14000,3,2,Moderate,None,Moderate,Moderate,"(Shopkeeper, Farmer, Factory Worker)",40000-100000
Pirangut,Near Industrial Area,Pune,Apartment,6200000,1100,2,5636,16000,4,3,Moderate,Security,Moderate,Moderate,"(Factory Worker, Business Consultant, Sales Manager)",60000-150000
Bhugaon,NDA Road,Pune,Apartment,8500000,1250,3,6800,24000,6,5,High,Swimming Pool,High,Low,"(Corporate Professional, Consultant, Business Owner)",100000-400000
Bhukum,Near Golf Course,Pune,Villa,18000000,3000,4,6000,55000,8,7,Very High,Private Garden,Very High,Low,"(Investor, Entrepreneur, Business Tycoon)",300000+
Mulshi,Near Temghar Dam,Pune,Farmhouse,21000000,5000,4,4200,60000,8,7,Very High,Private Garden,Very High,Low,"(Agriculturalist, Business Owner, Celebrity)",300000+
Lavale,Near Symbiosis University,Pune,Apartment,7300000,1150,3,6348,19000,5,4,Moderate,Parking,Moderate,Moderate,"(Professor, Lecturer, Researcher)",60000-150000
Jambhulwadi,Near Lake View Society,Pune,Apartment,6700000,1100,2,6091,17000,4,3,Moderate,Security,Moderate,Moderate,"(IT Technician, Small Business Owner, Teacher)",60000-140000
Ranjangaon,Near Industrial Park,Pune,Apartment,6000000,1050,2,5714,15000,4,3,Moderate,Security,Moderate,Moderate,"(Manufacturing Executive, Plant Manager, Electrician)",50000-140000
Katraj,Katraj Dairy,Pune,Apartment,6900000,1100,2,6273,18000,4,3,Moderate,Gated Society,Moderate,Moderate,"(Teacher, Accountant, Small Business Owner)",50000-150000
Katraj,Anandi Vihar,Pune,Apartment,7200000,1150,3,6261,20000,5,4,Moderate,Parking,Moderate,Moderate,"(Agriculturist, Industrial Worker, Freelancer)",50000-150000
Bibwewadi,Upper Indiranagar,Pune,Apartment,7700000,1250,3,6160,22000,6,4,Moderate,Gated Security,Moderate,Moderate,"(Doctor, Consultant, Financial Advisor)",70000-200000
Bibwewadi,Mukund Nagar,Pune,Apartment,8900000,1350,3,6593,27000,7,5,High,Security,High,Low,"(Business Owner, Military Personnel, Consultant)",90000-300000
Vadgaon Sheri,Nagar Road,Pune,Apartment,9500000,1300,3,7308,27000,6,5,High,Gated Security,High,Low,"(IT Professional, Financial Analyst, Marketing Manager)",100000-300000
Dhayari,Dhayari Phata,Pune,Apartment,7200000,1200,3,6000,19000,5,4,Moderate,Security,Moderate,Moderate,"(Marketing Executive, HR Manager, Consultant)",60000-150000
Dhayari,Chavan Baug,Pune,Apartment,7400000,1150,3,6435,20000,5,4,Moderate,Parking,Moderate,Moderate,"(Retail Manager, Government Employee, Teacher)",70000-180000
Hingne Khurd,Near MIT College,Pune,Apartment,8100000,1200,3,6750,24000,6,5,High,Gated Security,High,Low,"(Professor, Lawyer, Senior Executive)",90000-350000
Sinhagad Road,Manik Baug,Pune,Apartment,8300000,1250,3,6640,25000,6,5,High,Clubhouse,High,Low,"(Corporate Employee, Doctor, Engineer)",100000-400000
Narhe,Ambegaon Budruk,Pune,Apartment,7100000,1150,3,6174,18000,5,4,Moderate,Parking,Moderate,Moderate,"(Real Estate Agent, Retailer, Shop Owner)",60000-150000
Fursungi,Near MIDC,Pune,Apartment,6700000,1100,2,6091,17000,4,3,Moderate,Security,Moderate,Moderate,"(Factory Worker, Sales Manager, Consultant)",50000-140000
Fursungi,Handewadi Road,Pune,Apartment,6900000,1150,3,6000,18000,5,4,Moderate,Parking,Moderate,Moderate,"(Software Engineer, Business Consultant, HR Manager)",60000-180000
Phursungi,Autocluster Area,Pune,Apartment,6300000,1050,2,6000,15000,4,3,Moderate,Security,Moderate,Moderate,"(Manufacturing Engineer, Technician, Small Business Owner)",50000-120000
Uruli Kanchan,Near Railway Station,Pune,Apartment,5900000,1000,2,5900,14000,3,2,Moderate,None,Moderate,Moderate,"(Farmer, Shopkeeper, Factory Worker)",40000-100000
Lonikand,Near Ranjangaon Industrial Area,Pune,Apartment,5700000,1000,2,5700,14000,3,2,Moderate,None,Moderate,Moderate,"(Shopkeeper, Farmer, Factory Worker)",40000-100000
Hadapsar,Bhekrai Nagar,Pune,Apartment,7100000,1150,3,6174,18000,5,4,Moderate,Parking,Moderate,Moderate,"(IT Technician, Small Business Owner, Teacher)",60000-140000
Hadapsar,Kalepadal,Pune,Apartment,7200000,1200,3,6000,19000,5,4,Moderate,Security,Moderate,Moderate,"(Marketing Executive, HR Manager, Consultant)",60000-150000
Hadapsar,Harpale Vasti,Pune,Apartment,7500000,1250,3,6000,20000,5,4,Moderate,Clubhouse,Moderate,Moderate,"(Marketing Manager, IT Support, Financial Advisor)",70000-180000
Magarpatta,South Gate,Pune,Apartment,12500000,1400,3,8571,38000,7,6,Very High,Clubhouse,Very High,Low,"(Corporate Executive, IT Director, Business Owner)",200000-600000
Mundhwa,Keshav Nagar,Pune,Apartment,10500000,1400,3,7500,30000,6,5,Very High,Security,High,Low,"(Software Engineer, Consultant, Entrepreneur)",100000-300000
Kharadi,EON IT Park,Pune,Apartment,11500000,1400,3,8214,35000,7,6,Very High,Gated Community,Very High,Low,"(Software Engineer, Investment Banker, Startup Founder)",150000-500000
Ravet,Dehu Road,Pune,Apartment,7000000,1100,2,6364,18000,4,3,Moderate,Parking,Moderate,Moderate,"(Sales Manager, Software Developer, Consultant)",70000-180000
Pashan,Near Balaji Temple,Pune,Apartment,8800000,1300,3,6769,25000,6,5,High,Gym,High,Low,"(Scientist, Senior Consultant, Investment Banker)",150000-600000
Pashan,Sus Road,Pune,Apartment,9200000,1400,3,6571,27000,6,5,High,Swimming Pool,High,Low,"(Researcher, Corporate Executive, Professor)",120000-500000
Alandi,Charoli BK,Pune,Apartment,6400000,1150,2,5565,17000,4,3,Moderate,Gated Society,Moderate,Moderate,"(Factory Worker, Business Consultant, Sales Manager)",60000-150000
Bhosari,Indrayani Nagar,Pune,Apartment,6800000,1100,2,6182,17000,4,3,Moderate,Gym,Moderate,Moderate,"(College Lecturer, Sales Executive, Graphic Designer)",50000-120000
Chakan,Khed Shivapur,Pune,Apartment,5900000,1000,2,5900,14000,3,2,Moderate,None,Moderate,Moderate,"(Manufacturing Executive, Plant Manager, Electrician)",50000-140000
Shirur,Near Pune-Nagar Road,Pune,Apartment,5700000,1000,2,5700,14000,3,2,Moderate,None,Moderate,Moderate,"(Shopkeeper, Farmer, Factory Worker)",40000-100000
Mulshi,Near Temghar Dam,Pune,Farmhouse,21000000,5000,4,4200,60000,8,7,Very High,Private Garden,Very High,Low,"(Agriculturalist, Business Owner, Celebrity)",300000+
Lavale,Near Symbiosis University,Pune,Apartment,7300000,1150,3,6348,19000,5,4,Moderate,Parking,Moderate,Moderate,"(Professor, Lecturer, Researcher)",60000-150000
Jambhulwadi,Near Lake View Society,Pune,Apartment,6700000,1100,2,6091,17000,4,3,Moderate,Security,Moderate,Moderate,"(IT Technician, Small Business Owner, Teacher)",60000-140000
Yewalewadi,Kondhwa Annexe,Pune,Apartment,6500000,1150,2,5652,16000,4,3,Moderate,Gated Community,Moderate,Moderate,"(Teacher, Factory Worker, Freelancer)",50000-120000
Undri,Near Bishop’s School,Pune,Apartment,9000000,1300,3,6923,25000,6,5,High,Gym,High,Low,"(Software Engineer, Architect, HR Manager)",80000-250000
Mohamadwadi,NIBM Annexe,Pune,Apartment,9500000,1400,3,6786,28000,6,5,High,Gated Security,High,Low,"(Consultant, Banker, IT Director)",150000-400000
Pisoli,Near Jambhulwadi Lake,Pune,Apartment,7800000,1250,3,6240,22000,5,4,Moderate,Parking,Moderate,Moderate,"(Marketing Executive, Business Analyst, Lecturer)",60000-150000
Manjri,Bhekrai Nagar,Pune,Apartment,7200000,1200,3,6000,19000,5,4,Moderate,Security,Moderate,Moderate,"(Doctor, Consultant, Financial Advisor)",70000-200000
Handewadi,Near Hadapsar Industrial Area,Pune,Apartment,6900000,1150,3,6000,18000,5,4,Moderate,Clubhouse,Moderate,Moderate,"(Sales Manager, IT Professional, Retail Executive)",70000-180000
Fursungi,Near SP Infocity,Pune,Apartment,6700000,1100,2,6091,17000,4,3,Moderate,Security,Moderate,Moderate,"(Accountant, Business Owner, Security Manager)",60000-150000
Vadgaon Budruk,Sinhagad Road,Pune,Apartment,7100000,1200,3,5917,20000,5,4,Moderate,Gated Society,Moderate,Moderate,"(Bank Manager, Civil Engineer, Sales Executive)",70000-180000
